codigo_ibge,municipio,uf,area,populacao,densidade
3550308,São Paulo,São Paulo,1521.11,11451245,7528.216236827055
3304557,Rio de Janeiro,Rio de Janeiro,1200.329,6211423,5174.767084690948
5300108,Brasília,Distrito Federal,5760.783,2817068,489.00783105352167
2304400,Fortaleza,Ceará,312.353,2428678,7775.427160936504
2927408,Salvador,Bahia,693.453,2418005,3486.9053850801715
3106200,Belo Horizonte,Minas Gerais,331.354,2315560,6988.175787828124
1302603,Manaus,Amazonas,11401.092,2063547,180.99555726767224
4106902,Curitiba,Paraná,434.892,1773733,4078.5597343708323
2611606,Recife,Pernambuco,218.843,1488920,6803.598927084714
5208707,Goiânia,Goiás,728.841,1437237,1971.948614306824
4314902,Porto Alegre,Rio Grande do Sul,495.39,1332570,2689.941258402471
1501402,Belém,Pará,1059.466,1303309,1230.1565128092832
3518800,Guarulhos,São Paulo,318.675,1291784,4053.609476739625
3509502,Campinas,São Paulo,794.571,1138309,1432.608287994402
2111300,São Luís,Maranhão,582.974,1037775,1780.1394230274418
2704302,Maceió,Alagoas,509.32,957916,1880.7743658210948
5002704,Campo Grande,Mato Grosso do Sul,8082.978,897938,111.08999678088942
3304904,São Gonçalo,Rio de Janeiro,248.16,896744,3613.571889103804
2211001,Teresina,Piauí,1391.046,866300,622.7687653751206
2507507,João Pessoa,Paraíba,210.044,833932,3970.2728952029097
3548708,São Bernardo do Campo,São Paulo,409.532,810729,1979.6475000732544
3301702,Duque de Caxias,Rio de Janeiro,467.319,808252,1729.5509063402087
3303500,Nova Iguaçu,Rio de Janeiro,520.581,785882,1509.6248230342635
2408102,Natal,Rio Grande do Norte,167.401,751300,4488.0257585080135
3547809,Santo André,São Paulo,175.782,748919,4260.498799649566
3534401,Osasco,São Paulo,64.954,743432,11445.515287742095
3552205,Sorocaba,São Paulo,450.382,723574,1606.578415656043
3170206,Uberlândia,Minas Gerais,4115.206,713232,173.31623252882116
3543402,Ribeirão Preto,São Paulo,650.916,698259,1072.7328871928173
3549904,São José dos Campos,São Paulo,1099.409,697428,634.3662822480077
5103403,Cuiabá,Mato Grosso,3266.538,650912,199.2666241751971
2607901,Jaboatão dos Guararapes,Pernambuco,258.724,643759,2488.2075107063897
3118601,Contagem,Minas Gerais,194.746,621865,3193.2106436075705
4209102,Joinville,Santa Catarina,1127.946,616323,546.4117963093978
2910800,Feira de Santana,Bahia,1304.425,616279,472.4526132203845
2800308,Aracaju,Sergipe,182.163,602757,3308.8881935409495
4113700,Londrina,Paraná,1652.569,555937,336.40773849684945
3136702,Juiz de Fora,Minas Gerais,1435.749,540756,376.6368634071833
4205407,Florianópolis,Santa Catarina,674.844,537213,796.0550882870707
5201405,Aparecida de Goiânia,Goiás,278.539,527550,1893.98971059708
3205002,Serra,Espírito Santo,547.631,520649,950.7295971192282
3301009,Campos dos Goytacazes,Rio de Janeiro,4032.487,483551,119.91383977183311
3300456,Belford Roxo,Rio de Janeiro,78.985,483087,6116.186617712224
3303302,Niterói,Rio de Janeiro,133.757,481758,3601.7404696576627
3549805,São José do Rio Preto,São Paulo,431.944,480439,1112.2714981571685
1500800,Ananindeua,Pará,190.581,478778,2512.2021607610413
3205200,Vila Velha,Espírito Santo,210.225,467722,2224.8638363657988
4305108,Caxias do Sul,Rio Grande do Sul,1652.378,463338,280.4067834357514
